Macrotrends Data Download

U.S. Population Density 1950-2021
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population per Square KM, Annual % Change
2045-12-31,37.9741614,0.34
2046-12-31,38.1017832,0.34
2047-12-31,38.2268476,0.33
2048-12-31,38.3498808,0.32
2049-12-31,38.4714734,0.32
2050-12-31,38.5921493,0.31
2051-12-31,38.7122046,0.31
2052-12-31,38.831924,0.31
2053-12-31,38.9517873,0.31
2054-12-31,39.0723043,0.31
2055-12-31,39.1938635,0.31
2056-12-31,39.3166773,0.31
2057-12-31,39.440794,0.32
2058-12-31,39.566199,0.32
2059-12-31,39.6927851,0.32
2060-12-31,39.8204239,0.32
2061-12-31,39.949065,0.32
2062-12-31,40.0786051,0.32
2063-12-31,40.2087586,0.32
2064-12-31,40.3391646,0.32
2065-12-31,40.4694796,0.32
2066-12-31,40.5995327,0.32
2067-12-31,40.7291068,0.32
2068-12-31,40.8577365,0.32
2069-12-31,40.9848819,0.31
2070-12-31,41.110104,0.31
2071-12-31,41.2331949,0.3
2072-12-31,41.354058,0.29
2073-12-31,41.4725356,0.29
2074-12-31,41.5885056,0.28
2075-12-31,41.7018985,0.27
2076-12-31,41.8126512,0.27
2077-12-31,41.920787,0.26
2078-12-31,42.0264568,0.25
2079-12-31,42.1298882,0.25
2080-12-31,42.231295,0.24
2081-12-31,42.3308023,0.24
2082-12-31,42.4285306,0.23
2083-12-31,42.5247069,0.23
2084-12-31,42.6195875,0.22
2085-12-31,42.7134225,0.22
2086-12-31,42.8063592,0.22
2087-12-31,42.898587,0.22
2088-12-31,42.9904371,0.21
2089-12-31,43.0822864,0.21
2090-12-31,43.1744377,0.21
2091-12-31,43.2670788,0.21
2092-12-31,43.3602975,0.22
2093-12-31,43.4541141,0.22
2094-12-31,43.5485204,0.22
2095-12-31,43.6435154,0.22
2096-12-31,43.7391186,0.22
2097-12-31,43.8353741,0.22
2098-12-31,43.9323548,0.22
2099-12-31,44.0301601,0.22
2100-12-31,44.1289172,0.22
